scenario,zone_id,timestep,clps
surge,zone_7,51,0.688
surge,zone_7,52,0.688
surge,zone_7,53,0.688
surge,zone_7,54,0.688
surge,zone_7,55,0.688
surge,zone_7,56,0.688
surge,zone_7,57,0.688
surge,zone_7,58,0.688
surge,zone_7,59,0.688
surge,zone_7,60,0.688
surge,zone_7,61,0.688
surge,zone_7,62,0.688
surge,zone_7,63,0.688
surge,zone_7,64,0.688
surge,zone_7,65,0.688
surge,zone_7,66,0.688
surge,zone_7,67,0.688
surge,zone_7,68,0.755
surge,zone_7,69,0.755
surge,zone_7,70,0.755
surge,zone_7,71,0.755
surge,zone_7,72,0.755
surge,zone_7,73,0.755
surge,zone_7,74,0.755
surge,zone_7,75,0.755
surge,zone_7,76,0.755
surge,zone_7,77,0.755
surge,zone_7,78,0.755
surge,zone_7,79,0.755
surge,zone_7,80,0.878
surge,zone_7,81,0.878
surge,zone_7,82,0.878
surge,zone_7,83,0.878
surge,zone_7,84,0.878
surge,zone_7,85,0.878
surge,zone_7,86,0.878
surge,zone_7,87,0.878
surge,zone_7,88,0.878
surge,zone_7,89,0.878
surge,zone_7,90,0.878
surge,zone_7,91,0.878
surge,zone_7,92,0.878
surge,zone_7,93,0.878
surge,zone_7,94,0.878
surge,zone_7,95,0.879
surge,zone_8,0,0.85
surge,zone_8,1,0.846
surge,zone_8,2,0.846
surge,zone_8,3,0.846
surge,zone_8,4,0.846
surge,zone_8,5,0.846
surge,zone_8,6,0.846
surge,zone_8,7,0.846
surge,zone_8,8,0.846
surge,zone_8,9,0.846
surge,zone_8,10,0.846
surge,zone_8,11,0.846
surge,zone_8,12,0.846
surge,zone_8,13,0.846
surge,zone_8,14,0.846
surge,zone_8,15,0.846
surge,zone_8,16,0.846
surge,zone_8,17,0.846
surge,zone_8,18,0.846
surge,zone_8,19,0.846
surge,zone_8,20,0.846
surge,zone_8,21,0.846
surge,zone_8,22,0.846
surge,zone_8,23,0.846
surge,zone_8,24,0.696
surge,zone_8,25,0.696
surge,zone_8,26,0.696
surge,zone_8,27,0.696
surge,zone_8,28,0.696
surge,zone_8,29,0.696
surge,zone_8,30,0.696
surge,zone_8,31,0.696
surge,zone_8,32,0.696
surge,zone_8,33,0.696
surge,zone_8,34,0.696
surge,zone_8,35,0.696
surge,zone_8,36,0.696
surge,zone_8,37,0.696
surge,zone_8,38,0.696
surge,zone_8,39,0.696
surge,zone_8,40,0.696
surge,zone_8,41,0.696
surge,zone_8,42,0.696
surge,zone_8,43,0.696
surge,zone_8,44,0.696
surge,zone_8,45,0.696
surge,zone_8,46,0.696
surge,zone_8,47,0.696
surge,zone_8,48,0.696
surge,zone_8,49,0.696
surge,zone_8,50,0.696
surge,zone_8,51,0.696
surge,zone_8,52,0.696
surge,zone_8,53,0.696
surge,zone_8,54,0.696
surge,zone_8,55,0.696
surge,zone_8,56,0.696
surge,zone_8,57,0.696
surge,zone_8,58,0.696
surge,zone_8,59,0.696
surge,zone_8,60,0.696
surge,zone_8,61,0.696
surge,zone_8,62,0.696
surge,zone_8,63,0.696
surge,zone_8,64,0.696
surge,zone_8,65,0.696
surge,zone_8,66,0.696
surge,zone_8,67,0.696
surge,zone_8,68,0.696
surge,zone_8,69,0.696
surge,zone_8,70,0.696
surge,zone_8,71,0.696
surge,zone_8,72,0.696
surge,zone_8,73,0.696
surge,zone_8,74,0.696
surge,zone_8,75,0.696
surge,zone_8,76,0.696
surge,zone_8,77,0.696
surge,zone_8,78,0.696
surge,zone_8,79,0.696
surge,zone_8,80,0.846
surge,zone_8,81,0.846
surge,zone_8,82,0.846
surge,zone_8,83,0.846
surge,zone_8,84,0.846
surge,zone_8,85,0.846
surge,zone_8,86,0.846
surge,zone_8,87,0.846
surge,zone_8,88,0.846
surge,zone_8,89,0.846
surge,zone_8,90,0.846
surge,zone_8,91,0.846
surge,zone_8,92,0.846
surge,zone_8,93,0.846
surge,zone_8,94,0.846
surge,zone_8,95,0.846
