segment_id,start_lon,start_lat,end_lon,end_lat,material,diameter_m,length_m,zone_id,pipeline_type,data_quality_flag,assumed_age_years,design_lifespan_years,hw_c_value
262,75.87912,17.703055,75.879386,17.703066,PVC,0.075,28.25276,zone_1,Distribution Pipeline,complete,10,25,150
263,75.879386,17.703066,75.879735,17.703115,PVC,0.075,37.36096,zone_1,Distribution Pipeline,complete,10,25,150
264,75.878256,17.70309,75.878431,17.703079,PVC,0.075,18.54838,zone_1,Distribution Pipeline,complete,10,25,150
265,75.878465,17.703077,75.878681,17.703063,PVC,0.075,22.97275,zone_1,Distribution Pipeline,complete,10,25,150
266,75.878246,17.702678,75.878406,17.702683,PVC,0.075,16.98084,zone_1,Distribution Pipeline,complete,10,25,150
267,75.878429,17.702684,75.878969,17.702701,PVC,0.075,57.40858,zone_1,Distribution Pipeline,complete,10,25,150
268,75.878969,17.702701,75.879696,17.702737,PVC,0.075,77.19519,zone_1,Distribution Pipeline,complete,10,25,150
269,75.878245,17.702532,75.878385,17.702532,PVC,0.075,14.85988,zone_1,Distribution Pipeline,complete,10,25,150
270,75.878385,17.702532,75.878387,17.702532,PVC,0.075,1.0,zone_1,Distribution Pipeline,complete,10,25,150
271,75.87842,17.702532,75.878614,17.702532,PVC,0.075,20.60052,zone_1,Distribution Pipeline,complete,10,25,150
272,75.878614,17.702532,75.879485,17.702566,PVC,0.075,92.40566,zone_1,Distribution Pipeline,complete,10,25,150
273,75.88013,17.708471,75.881484,17.708687,PVC,0.075,145.63058,zone_1,Distribution Pipeline,complete,10,25,150
274,75.874793,17.697343,75.875357,17.697148,PVC,0.075,63.62255,zone_1,Distribution Pipeline,complete,10,25,150
275,75.878788,17.702245,75.878829,17.701827,PVC,0.075,46.47643,zone_1,Distribution Pipeline,complete,10,25,150
276,75.879668,17.708395,75.88013,17.708471,PVC,0.075,49.76075,zone_1,Distribution Pipeline,complete,10,25,150
277,75.88013,17.708471,75.880444,17.707788,PVC,0.075,82.56569,zone_1,Distribution Pipeline,complete,10,25,150
278,75.877194,17.711334,75.877072,17.711068,PVC,0.075,32.20878,zone_1,Distribution Pipeline,complete,10,25,150
279,75.879545,17.708375,75.879615,17.708046,PVC,0.075,37.19869,zone_1,Distribution Pipeline,complete,10,25,150
